Comentario_Limpio;Categoria_N1;Categoria_N2;Categoria_N3;Sentimiento;Palabras;Usa_Exclusiones
cuando quiero hacer compras por internet no me permite realizar las operaciones porque sale un mensaje en donde dice que mi token digital no se pudo sincronizar con mi celular en ese caso que puedo realizar para solucionar el problema;funcionalidad;token;no funciona;negativo;40;Sí
me ofrecen multiples cosas y despues el acceso es muy complicado mejoren de verdad las app que hay muchas personas que son capaces y quieren trabajar;otros;agencias;Sin categoría N3;negativo;26;Sí
no puedo tener mi token;funcionalidad;token;Sin categoría N3;neutral;5;Sí
dejar de caerse a cada rato;noespecifica;Sin categoría N2;Sin categoría N3;neutral;6;Sí
conversar con un asistente personnal por via telefonica;otros;agencias;Sin categoría N3;neutral;8;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
las alertas de robo deben de ser inmediatas y se debe bloquear las tarjetas me robaron el cel y permitieron que realicen 4 movimientos sin mi concentimiento;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;27;Sí
no me deja transferir y ya active el tokem;funcionalidad;token;no funciona;neutral;9;Sí
no descuidar nada;otros;comentarios genericos;Sin categoría N3;neutral;3;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
ingresar al aplicativo con huella digital;funcionalidad;login;no puede ingresar;neutral;6;Sí
ocuparse en mejorar su historial de cada cliente tomando referencia sus anos con ustedes y brindarles mejores beneficios y tiempos record ya que la vida se pasa en su abrir y cerrar de ojos;funcionalidad;operaciones;Sin categoría N3;neutral;34;Sí
en no dejar que te embarguen lo poco de dinero que tenia;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;12;Sí
no soy norman mi nombre es carlos ponce estan usando mi correo equivocadamente y numero telefonico;diseno;cantidad de funcionalidades;Sin categoría N3;neutral;16;Sí
el exceso de comision deberian de mejorar;tarifas;comision;Sin categoría N3;neutral;7;Sí
cada que quiero entrar al banco siempre hay problemas y no me da acceso no se que pasa con su app;tarifas;Sin categoría N2;Sin categoría N3;negativo;21;Sí
mal servicio en general;funcionalidad;inestabilidad;mantenimiento;negativo;4;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no me dieron solucion inmediata;otros;reclamos;Sin categoría N3;neutral;5;Sí
ser compresivos;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
excelente atencion no tengo quejas;otros;reclamos;Sin categoría N3;positivo;5;Sí
qur al igual que el yape aparedca una lista de los yapeos que se realiza por el app bcp;funcionalidad;operaciones;Sin categoría N3;neutral;19;Sí
hacerlo mas sencillo el procedimiento;diseno;amigable;Sin categoría N3;positivo;5;Sí
por banca movil me han robado mi plata;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;8;Sí
nose;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
prioridar la duracion del inicio del sesion de la cuenta;funcionalidad;login;Sin categoría N3;neutral;10;Sí
no cobrar la renovacion de la tarjeta;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
mejorar la atencion;otros;reclamos;Sin categoría N3;positivo;3;Sí
no tiene opcion de debutar internet movistar;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
se bugea;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
ya es recomendable;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
que sean mas eficientes en cuanto a reembolsos de paginas cuando uno compra y reembolsa online ami aun ustedes no me reembolsan el dinero que pague desde la banca bcp por eso motivo no los recomiendo tardan mucho en concreta los reembolsos;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;42;Sí
esta muy bien el servicio;funcionalidad;inestabilidad;mantenimiento;positivo;5;Sí
dar solucion aun reclamo;otros;reclamos;Sin categoría N3;negativo;4;Sí
el tipo de cambio es demasiado bajo muy bajo;tarifas;tipo de cambio;Sin categoría N3;neutral;9;Sí
evitar el spam;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
la atencion debe ser rapida y precisa;otros;reclamos;Sin categoría N3;neutral;7;Sí
ayudar a las personas no me dieron ninguna solucion;otros;reclamos;Sin categoría N3;neutral;9;Sí
